doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_de_#CLIENT-01#_default_2021-01-10-57,0,client,de,en,de_en,"Hallo,","Hi,","Hello,",1,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-57,1,client,de,en,de_en,ich habe letzte Woche und heute Morgen um ein Rücksendeettikett für meine Bestellung #NUMBER# angesucht.,I visited last week and this morning around a return tag for my order #NUMBER#.,I applied for a return label for my order #NUMBER# last week and this morning.,15,critical/critical,0,0,2,-33.33333333,Mistranslation/Mistranslation,visited/around,2/37,9/43
en_de_#CLIENT-01#_default_2021-01-10-57,2,client,de,en,de_en,"Mir wurde gesagt, dass mir eines zugeschickt wird.",I was told that one was sent to me.,I was told that one thing was sent to me.,9,major,0,1,0,44.44444444,Grammar,was sent,20,28
en_de_#CLIENT-01#_default_2021-01-10-57,3,client,de,en,de_en,"Da ich noch keines erhalten habe (im SPAM Ordner auch nicht), wollte ich jetzt mal nachfragen, wie lange dies in der Regel dauert.","Since I have not yet received any (in the SPAM folder too), I wanted to ask now how long this usually takes.","Since I did not receive one more (in the SPAM folder also not), I wanted to ask now how long this usually takes.",22,minor/minor,2,0,0,90.90909091,Mistranslation/Addition,too/now,54/76,57/79
en_de_#CLIENT-01#_default_2021-01-10-57,4,client,de,en,de_en,Vielen lieben Dank.,Thank you very much.,Thank you very much.,4,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-57,5,agent,en,de,en_de,"HI #NAME#, thanks for contacting #PRS_ORG#","HI #NAME#, danke für den Kontakt mit #PRS_ORG#","Hallo #NAME#, danke für die Kontaktaufnahme mit #PRS_ORG#.",8,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-57,6,client,de,en,de_en,Hallo #NAME#,Welcome to #Name,Hello #NAME#,3,major/minor,1,1,0,-100.0,Addition/Punctuation,to/,8/16,10/16
en_de_#CLIENT-01#_default_2021-01-10-57,7,agent,en,de,en_de,I can look for this now for you,Ich kann dies jetzt für Sie suchen,Ich kann das jetzt für Sie nachsehen,7,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-57,8,agent,en,de,en_de,Were the returns labels requested this morning?,Waren die Rückkehrszeichen heute Morgen angefordert?,Wurden die Rücksendeetiketten heute Morgen angefordert?,6,minor/major,1,1,0,0.0,Mistranslation/Grammar,Rückkehrszeichen/Waren,10/0,26/5
en_de_#CLIENT-01#_default_2021-01-10-57,9,client,de,en,de_en,genau,exactly,Accurate,1,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-57,10,client,de,en,de_en,Heute und letzte Woch,Today and last week,Today and last yoke,4,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-57,11,client,de,en,de_en,Woche,week,Week,1,minor,1,0,0,0.0,Capitalization,week,0,4
en_de_#CLIENT-01#_default_2021-01-10-57,12,agent,en,de,en_de,"Thanks, I am just looking to see if these are being done for you now","Danke, ich suche nur, ob diese jetzt für Sie gemacht werden.","Danke, ich will nur nachsehen, ob das jetzt auch für Sie gemacht wird.",11,minor,1,0,0,90.90909091,Mistranslation,ich suche nur,7,20
en_de_#CLIENT-01#_default_2021-01-10-57,13,client,de,en,de_en,Vielen lieben Dank,A lot of loving thanks,Thank you so much,5,critical,0,0,1,-100.0,Mistranslation,loving,9,15
en_de_#CLIENT-01#_default_2021-01-10-57,14,agent,en,de,en_de,"I can see this is being worked on, I will keep an eye on the case and contact them now for you","Ich kann sehen, dass dies in der Arbeit ist, ich werde einen Blick auf den Fall halten und sie jetzt für Sie kontaktieren","Ich kann sehen, dass dies bearbeitet wird. Ich werde den Fall im Auge behalten und sie jetzt für Sie kontaktieren.",23,minor/minor,2,0,0,91.30434783,Addition/Mistranslation,der/einen Blick auf den Fall halten,29/55,32/86
en_de_#CLIENT-01#_default_2021-01-10-57,15,client,de,en,de_en,Vielen lieben Dank,A lot of loving thanks,Thank you so much,5,critical,0,0,1,-100.0,Mistranslation,loving,9,15
en_de_#CLIENT-01#_default_2021-01-10-57,16,agent,en,de,en_de,You are very Welcome,Sie sind sehr willkommen,Gern geschehen.,4,major,0,1,0,-25.0,Mistranslation,Sie sind sehr willkommen,0,24
en_de_#CLIENT-01#_default_2021-01-10-57,17,agent,en,de,en_de,Thank you for taking the time to chat to me today.,"Danke für die Zeit, um mit mir heute zu chatten.","Vielen Dank, dass Sie sich die Zeit genommen haben, heute mit mir zu sprechen.",10,minor,1,0,0,90.0,Mistranslation,für die Zeit,6,18
en_de_#CLIENT-01#_default_2021-01-10-57,18,agent,en,de,en_de,Once this chat has ended you will be sent a 'rate my chat' feedback email.,"Sobald dieser chat beendet ist, werden Sie eine 'rate my chat' Feedback-e-Mail gesendet.","Sobald dieser Chat beendet ist, erhalten Sie eine Feedback-E-Mail mit dem Titel „Meinen Chat bewerten“.",14,critical/major,0,1,1,-7.142857143,Untranslated/Omission,rate my chat/,49/88,61/88
en_de_#CLIENT-01#_default_2021-01-10-57,19,agent,en,de,en_de,"Please kindly fill this in if you have a moment, however if you don't have time then may I wish you a wonderful day and thank you again.","Bitte füllen Sie dies freundlich aus, wenn Sie einen Moment haben, aber wenn Sie keine Zeit haben, dann wünsche ich Ihnen einen wunderbaren Tag und danke Ihnen erneut.","Bitte füllen Sie das Formular aus, wenn Sie Zeit haben. Sollten Sie jedoch keine Zeit haben, wünsche ich Ihnen einen schönen Tag und danke Ihnen nochmals.",28,critical,0,0,1,64.28571429,Mistranslation,freundlich,22,32
en_de_#CLIENT-01#_default_2021-01-10-57,20,client,de,en,de_en,Ich habe natürlich Zeit.,"I have time, of course.","Of course, I have time.",5,,0,0,0,100.0,,,,
